Matrix,Mode,Threads,Schedule,Chunk_size,avg_l1_load,avg_l1_miss,l1_miss_rate,avg_ll_load,avg_ll_miss,ll_miss_rate
torso1.mtx, Parallel, 16, guided, 1000, 766554.80, 38887.00, 5.07, 6631.40, 1258.60, 18.98
torso1.mtx, Parallel, 32, static, 10, 766554.80, 38815.60, 5.06, 6588.80, 1376.00, 20.88
torso1.mtx, Parallel, 32, static, 100, 766556.20, 38903.40, 5.08, 6624.20, 661.80, 9.99
torso1.mtx, Parallel, 32, static, 1000, 766555.00, 38804.80, 5.06, 6648.20, 583.40, 8.78
torso1.mtx, Parallel, 32, dynamic, 10, 766555.00, 38861.60, 5.07, 6609.80, 2236.00, 33.83
torso1.mtx, Parallel, 32, dynamic, 100, 766556.00, 38909.80, 5.08, 6684.80, 836.80, 12.52
torso1.mtx, Parallel, 32, dynamic, 1000, 766553.60, 38942.00, 5.08, 6584.20, 1570.20, 23.85
torso1.mtx, Parallel, 32, guided, 10, 766555.00, 38936.80, 5.08, 6563.80, 1410.20, 21.48
torso1.mtx, Parallel, 32, guided, 100, 766556.00, 38811.40, 5.06, 6572.40, 1828.80, 27.83
torso1.mtx, Parallel, 32, guided, 1000, 766554.60, 38753.80, 5.06, 6615.00, 1106.60, 16.73
torso1.mtx, Parallel, 64, static, 10, 766555.00, 38993.60, 5.09, 6621.40, 1737.20, 26.24
torso1.mtx, Parallel, 64, static, 100, 766556.00, 38813.20, 5.06, 6568.60, 1485.00, 22.61
torso1.mtx, Parallel, 64, static, 1000, 766554.60, 38701.60, 5.05, 6617.80, 430.80, 6.51
torso1.mtx, Parallel, 64, dynamic, 10, 766554.80, 38859.60, 5.07, 6599.00, 1611.80, 24.42
torso1.mtx, Parallel, 64, dynamic, 100, 766555.60, 38778.40, 5.06, 6594.20, 1667.40, 25.29
torso1.mtx, Parallel, 64, dynamic, 1000, 766554.20, 38788.40, 5.06, 6620.60, 915.60, 13.83
torso1.mtx, Parallel, 64, guided, 10, 766554.80, 38699.80, 5.05, 6570.00, 700.60, 10.66
torso1.mtx, Parallel, 64, guided, 100, 766555.80, 38957.40, 5.08, 6567.40, 2112.20, 32.16
torso1.mtx, Parallel, 64, guided, 1000, 766554.80, 38887.60, 5.07, 6611.80, 1575.00, 23.82
twotone.mtx, Sequential, NaN, NaN, NaN, 661734.80, 31617.00, 4.78, 5454.80, 2352.60, 43.13
twotone.mtx, Parallel, 1, static, 10, 766549.80, 39105.20, 5.10, 6735.40, 4527.80, 67.22
twotone.mtx, Parallel, 1, static, 100, 766551.00, 39000.60, 5.09, 6557.40, 2258.80, 34.45
twotone.mtx, Parallel, 1, static, 1000, 766549.80, 39047.60, 5.09, 6623.40, 2054.80, 31.02
